Purchase Intention,id,text
undefined,102,Oppo has a clever idea for eliminating the notch without removing functionality  http:// bit.ly/2BH5klO    #apple  #iphone -x #mobile
undefined,103,Just saw this on eBay : Apple  iPhone X  a1901 256GB Smartphone GSM Unlocked  http:// rover.ebay.com/rover/1/711-53 200-19255-0/1?ff3=2&toolid=10039&campid=5338330040&item=152924515886&vectorid=229466&lgeo=1   … pic.twitter.com/9uUd2x46O4
undefined,105,@ AppleSupport  my  iPhone X  keeps staying on a black screen for a few minutes...then all of a sudden will work again. Any advice?
undefined,106,The best  iPhone X  cases – CNET  https://www. worldnewsfacts.com/the-best-iphon e-x-cases-cnet/   … pic.twitter.com/tf8aiRvkvI
undefined,107,"Apple  iPhone X , Fully Unlocked 5.8"", 256 GB - Space Gray -  http:// sounds.890m.com/apple-iphone-x -fully-unlocked-5-8-256-gb-space-gray/   … pic.twitter.com/4hymQD9x63"
no,108,The camera on an  iPhone X  is fucking horrific
yes,109,I'm so buzzing that I finally get an  iPhone X  tomorrow 
yes,110,Buy  iPhone x  for me
undefined,111,The best  iPhone X  cases## CNET   https:// goo.gl/bqXDvY    @DavidCarnoy pic.twitter.com/6PFUKEfv9u
yes,112,I liked a @YouTube  video  http:// youtu.be/cMIz1LCq5Fk?a     iPhone X  Cinematic - Toronto Canada 4K
undefined,113,I have no data to back this up but I think the  iphone x  is the slipperiest phone in existence. every time i look away for one second and it's slipped onto the ground. it's like a little flat slippery eel.
no,115,"Got my Pixel 3 finally. So here is the verdict: 1) It's just much smarter than my  iPhone X  (I think this one is so important, yet overlooked)  2) The camera is ridiculous 3) It's not as smooth as an iPhone and the Apple eco-system is awesome 4) It's just enjoyable to use!"
undefined,116,"# window  #squirrel  #cardinal  #birds  #mushroom  #northernliberties  #phl  #philly  #phillystreets  #iphonex  #iphoneography  #lightroom @Northern Liberties, Philadelphia  https://www. instagram.com/p/Bqx_6C0nIAw/ ?utm_source=ig_twitter_share&igshid=e9wplh737ia8   …"
no,117,"Seriously considering trading in my  iPhone X  for a flip phone, this face recognition crap is creeping me out! #bigbrother  #iPhoneXR"
no,118,"Apple no longer sells the  iPhone X , but that doesn't mean you shouldn't protect yours if you have one.
 https:// cnet.co/2DS00h2  "
